Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01034,Test,CC9-03022018-114055,Calibration,CC9-03022018-114055
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
467,-22.8745,15.6746,-21.99,12.5926,0.923492,-0.0111047,-0.884511,3.08193,1966.5,-22.9797,15.7424,0
479,-22.8636,15.6868,-21.99,12.5926,0.912156,1.02122,-0.873565,3.09418,1977.45,-22.8778,15.7588,0
487,-22.8696,15.6886,-21.99,12.5926,-0.761307,0.227829,-0.879656,3.09601,1985.95,-22.84,15.7434,0
499,-22.8762,15.6898,-21.99,12.5926,-0.548879,0.100967,-0.886242,3.09722,1991.09,-22.8737,15.6281,0
512,-22.8773,15.6881,-21.99,12.5926,-0.083845,-0.137918,-0.887332,3.09542,1994.63,-22.8916,15.6112,0
519,-22.8877,15.6835,-21.99,12.5926,-1.4887,-0.650734,-0.897753,3.09087,1998.22,-22.9246,15.6959,0
531,-22.8894,15.6779,-21.99,12.5926,-0.135053,-0.465541,-0.899374,3.08528,2002.22,-22.9262,15.6763,0
540,-22.8929,15.6608,-21.99,12.5926,-0.388128,-1.89977,-0.902867,3.06818,2006.21,-22.9639,15.7024,0
553,-22.887,15.6585,-21.99,12.5926,0.453285,-0.179552,-0.896974,3.06585,2009.61,-22.8201,15.6267,0
558,-22.8475,15.6338,-21.99,12.5926,7.89607,-4.92638,-0.857494,3.04122,2012.47,-22.7916,15.5814,0
570,-22.8223,15.6282,-21.99,12.5926,2.09519,-0.471468,-0.832352,3.03556,2016.01,-22.8123,15.6424,0
578,-22.8213,15.6282,-21.99,12.5926,0.134153,-0.000742576,-0.831279,3.03556,2021.28,-22.7672,15.6178,0
590,-22.8207,15.6334,-21.99,12.5926,0.0442779,0.43206,-0.830747,3.04074,2027.55,-22.8334,15.6336,0
598,-22.8303,15.6515,-21.99,12.5926,-1.19559,2.27094,-0.840312,3.05891,2032.62,-22.8593,15.6972,0
610,-22.8279,15.6816,-21.99,12.5926,0.198121,2.50819,-0.837935,3.08901,2035.17,-22.8418,15.7057,0
618,-22.8283,15.6944,-21.99,12.5926,-0.0451602,1.59237,-0.838296,3.10174,2035.88,-22.8581,15.7111,0
631,-22.8377,15.6967,-21.99,12.5926,-0.726748,0.180327,-0.847744,3.10409,2035.84,-22.7805,15.7032,0
639,-22.8473,15.6974,-21.99,12.5926,-1.19833,0.0913105,-0.85733,3.10482,2035.33,-22.799,15.6624,0
650,-22.8585,15.6721,-21.99,12.5926,-1.0163,-2.30311,-0.86851,3.07949,2034.27,-22.8641,15.6535,0
659,-22.8715,15.638,-21.99,12.5926,-1.44875,-3.79563,-0.881548,3.04532,2032.71,-22.8802,15.6153,0
671,-22.8841,15.6199,-21.99,12.5926,-1.04704,-1.50604,-0.894113,3.02725,2030.61,-22.8873,15.6286,0
679,-22.8907,15.6203,-21.99,12.5926,-0.819456,0.0560132,-0.900668,3.0277,2028.07,-22.8962,15.6128,0
691,-22.8909,15.6205,-21.99,12.5926,-0.0196986,0.01552,-0.900905,3.02789,2025.71,-22.903,15.5652,0
698,-22.8902,15.6241,-21.99,12.5926,0.0981985,0.506213,-0.900217,3.03143,2024.13,-22.9184,15.6639,0
