Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01034,Test,CC9-03022018-115306,Calibration,CC9-03022018-115306
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-4.60694,11.5428,-21.99,12.5926,0,0,17.3831,-1.04982,2074.94,-4.61756,11.4761,0
0,-4.60694,11.5428,-21.99,12.5926,nan,nan,17.3831,-1.04982,2074.94,-4.63404,11.7423,0
10,-4.53566,11.6404,-21.99,12.5926,7.12826,9.75906,17.4543,-0.95223,2074.94,-4.32299,11.8876,0
19,-4.45851,11.644,-21.99,12.5926,8.5712,0.394934,17.5315,-0.948675,2074.94,-4.22814,11.8614,0
29,-4.39459,11.6649,-21.99,12.5926,6.3925,2.09517,17.5954,-0.927723,2082.53,-4.27291,11.6591,0
36,-4.36268,11.7288,-21.99,12.5926,4.55875,9.12894,17.6273,-0.863821,2087.06,-4.44605,11.6034,0
46,-4.34429,11.7295,-21.99,12.5926,1.83908,0.07281,17.6457,-0.863093,2089.61,-4.34945,11.6471,0
57,-4.34959,11.734,-21.99,12.5926,-0.482365,0.409037,17.6404,-0.858593,2090.35,-4.41513,11.8798,0
66,-4.3398,11.8163,-21.99,12.5926,1.08772,9.14464,17.6502,-0.776292,2090.1,-4.31952,11.8575,0
76,-4.33235,11.8191,-21.99,12.5926,0.745713,0.277252,17.6576,-0.773519,2088.81,-4.34659,11.792,0
84,-4.31951,11.8162,-21.99,12.5926,1.60415,-0.35941,17.6705,-0.776394,2086.37,-4.28037,11.8417,0
96,-4.29484,11.7816,-21.99,12.5926,2.05608,-2.8832,17.6951,-0.810993,2083.78,-4.13874,11.7494,0
105,-4.27643,11.7527,-21.99,12.5926,2.04514,-3.21901,17.7136,-0.839964,2082.26,-4.26636,11.5646,0
116,-4.26849,11.7285,-21.99,12.5926,0.722427,-2.19904,17.7215,-0.864153,2081.78,-4.29708,11.6466,0
124,-4.26851,11.7275,-21.99,12.5926,-0.00279119,-0.12145,17.7215,-0.865125,2081.7,-4.24438,11.7266,0
136,-4.29441,11.7317,-21.99,12.5926,-2.15848,0.35309,17.6956,-0.860888,2081.69,-4.14316,11.7067,0
145,-4.80391,11.8215,-21.99,12.5926,-56.6105,9.97448,17.1861,-0.771117,2081.69,-6.07341,12.1486,0
156,-7.12495,12.1785,-21.99,12.5926,-211.004,32.4527,14.865,-0.414138,2081.42,-8.97464,12.4637,0
164,-10.5115,12.8558,-21.99,12.5926,-423.317,84.6601,11.4785,0.263143,2078.63,-12.0929,13.4391,0
176,-12.8062,13.7049,-21.99,12.5926,-191.229,70.7624,9.18375,1.11229,2065.67,-14.9974,14.4327,0
184,-14.6204,14.5204,-21.99,12.5926,-226.769,101.934,7.3696,1.92776,2030.75,-17.2283,15.2051,0
197,-16.0728,15.0672,-21.99,12.5926,-111.727,42.0614,5.91715,2.47456,1972.95,-16.4573,15.433,0
205,-16.5313,15.3615,-21.99,12.5926,-57.3082,36.7839,5.45868,2.76883,1913.02,-16.553,15.6141,0
216,-16.8582,15.5781,-21.99,12.5926,-29.7205,19.6943,5.13176,2.98547,1872.73,-18.7283,15.9498,0
235,-17.3809,15.8634,-21.99,12.5926,-27.5085,15.0176,4.6091,3.2708,1852.88,-17.6193,16.0583,0
238,-18.1445,16.1266,-21.99,12.5926,-254.55,87.7134,3.84545,3.53394,1843.84,-19.7161,16.561,0
248,-18.7875,16.2681,-21.99,12.5926,-64.2915,14.1536,3.20253,3.67548,1840.01,-19.6049,16.4943,0
256,-18.9049,16.2881,-21.99,12.5926,-14.6821,2.50447,3.08507,3.69551,1839.12,-17.7363,15.925,0
269,-19.0951,16.2056,-21.99,12.5926,-14.6314,-6.35011,2.89487,3.61296,1840.56,-19.0002,16.0686,0
276,-18.934,16.1648,-21.99,12.5926,23.0204,-5.82326,3.05601,3.5722,1846.17,-18.911,15.9743,0
288,-18.9158,16.1644,-21.99,12.5926,1.5161,-0.0325147,3.0742,3.57181,1857.22,-19.2607,16.1501,0
296,-18.6697,16.201,-21.99,12.5926,30.7645,4.57034,3.32032,3.60837,1869.98,-17.6499,16.2149,0
308,-18.6133,16.3869,-21.99,12.5926,4.69605,15.4931,3.37667,3.79429,1879.34,-19.4145,16.5449,0
317,-18.4124,16.3937,-21.99,12.5926,22.3226,0.754763,3.57757,3.80108,1884.85,-17.4885,16.3345,0
329,-18.0322,16.3764,-21.99,12.5926,31.6839,-1.44595,3.95778,3.78373,1888.75,-19.3623,16.4353,0
337,-17.9036,16.3539,-21.99,12.5926,16.0821,-2.81043,4.08644,3.76125,1892.42,-20.4084,16.9356,0
349,-16.6819,16.1051,-21.99,12.5926,101.808,-20.7301,5.30813,3.51249,1896.24,-15.4148,15.9222,0
356,-15.7151,15.8733,-21.99,12.5926,138.108,-33.1127,6.27489,3.2807,1899.65,-16.0836,15.8633,0
368,-15.5454,15.8123,-21.99,12.5926,14.141,-5.08685,6.44458,3.21965,1901.63,-15.6513,15.6261,0
376,-15.5538,15.7399,-21.99,12.5926,-1.0548,-9.04452,6.43614,3.1473,1902.07,-15.1177,15.7327,0
388,-15.581,15.7418,-21.99,12.5926,-2.26306,0.159205,6.40899,3.14921,1901.6,-15.5508,15.4745,0
396,-15.5854,15.7439,-21.99,12.5926,-0.546477,0.253712,6.40461,3.15124,1901.54,-15.7294,15.5619,0
409,-15.6579,15.7869,-21.99,12.5926,-5.5805,3.30733,6.33207,3.19423,1904.07,-16.0927,15.9502,0
417,-15.6535,15.8298,-21.99,12.5926,0.552852,5.37288,6.33649,3.23722,1909.73,-16.035,16.0921,0
428,-15.6526,15.8315,-21.99,12.5926,0.0829137,0.154459,6.3374,3.23892,1915.42,-15.7135,15.8891,0
437,-15.6378,15.8261,-21.99,12.5926,1.64231,-0.601964,6.35218,3.2335,1916.28,-15.4029,15.6685,0
449,-15.5996,15.7586,-21.99,12.5926,3.1862,-5.62422,6.39042,3.16601,1910.76,-15.4421,15.4978,0
457,-15.5868,15.7446,-21.99,12.5926,1.59201,-1.75578,6.40315,3.15196,1903.54,-15.5423,15.5582,0
469,-15.5876,15.7434,-21.99,12.5926,-0.0619686,-0.0998045,6.40241,3.15076,1900.44,-15.6347,15.7327,0
477,-15.6162,15.7274,-21.99,12.5926,-3.5739,-2.00531,6.37382,3.13472,1903.56,-15.5997,15.7671,0
488,-15.6309,15.7292,-21.99,12.5926,-1.33742,0.167065,6.35911,3.13656,1910.96,-15.6625,15.854,0
500,-15.6492,15.7304,-21.99,12.5926,-1.52468,0.102291,6.34081,3.13779,1917.6,-15.6066,15.6751,0
508,-15.6552,15.6791,-21.99,12.5926,-0.747386,-6.41247,6.33483,3.08649,1919.59,-15.6745,15.5711,0
520,-15.6607,15.6392,-21.99,12.5926,-0.464436,-3.3303,6.32926,3.04652,1918.35,-15.7344,15.476,0
529,-15.634,15.5707,-21.99,12.5926,2.96781,-7.60213,6.35597,2.9781,1917.38,-15.6401,15.4268,0
541,-15.5991,15.4946,-21.99,12.5926,2.91269,-6.34406,6.39092,2.90197,1918.39,-15.5441,15.6313,0
548,-15.5715,15.4568,-21.99,12.5926,3.93125,-5.39887,6.41844,2.86418,1920.66,-15.4394,15.5775,0
561,-15.5737,15.4373,-21.99,12.5926,-0.168353,-1.50467,6.41625,2.84462,1922.36,-15.3015,15.2807,0
568,-15.5931,15.3357,-21.99,12.5926,-2.76871,-14.5051,6.39687,2.74309,1922.97,-15.6106,15.2043,0
580,-15.6281,15.2207,-21.99,12.5926,-2.91806,-9.58113,6.36185,2.62811,1923.2,-15.8961,15.2439,0
589,-15.6351,15.2053,-21.99,12.5926,-0.769545,-1.71665,6.35493,2.61266,1924.08,-15.7035,15.1575,0
601,-15.6554,15.2016,-21.99,12.5926,-1.6966,-0.303792,6.33457,2.60902,1926.88,-15.4659,15.2258,0
608,-15.802,15.2301,-21.99,12.5926,-20.9379,4.06917,6.188,2.6375,1931.62,-23.2706,17.6971,0
621,-17.7837,15.661,-21.99,12.5926,-152.439,33.1403,4.2063,3.06833,1935.47,-15.5776,14.9923,0
629,-21.3572,16.8702,-21.99,12.5926,-446.686,151.161,0.632819,4.27762,1935.49,-23.3557,17.9065,0
640,-21.5092,16.9135,-21.99,12.5926,-13.8216,3.93355,0.480781,4.32088,1933.23,-23.411,17.9094,0
648,-21.5849,16.9444,-21.99,12.5926,-9.46209,3.85551,0.405084,4.35173,1933.19,-23.4062,17.8595,0
660,-23.2635,17.7367,-21.99,12.5926,-139.882,66.0268,-1.2735,5.14405,1936.14,-15.5809,15.1828,0
668,-23.3264,17.7571,-21.99,12.5926,-7.8674,2.5472,-1.33644,5.16443,1938.9,-15.5342,15.1012,0
681,-23.3261,17.7561,-21.99,12.5926,0.0266627,-0.0744764,-1.3361,5.16346,1939.42,-23.2958,17.7318,0
689,-23.3292,17.7497,-21.99,12.5926,-0.385898,-0.803741,-1.33918,5.15703,1937.98,-23.3489,17.8127,0
701,-23.3603,17.7733,-21.99,12.5926,-2.5921,1.97274,-1.37029,5.1807,1935.63,-23.4106,17.8335,0
710,-23.3621,17.7867,-21.99,12.5926,-0.207375,1.47992,-1.37216,5.19402,1933.52,-23.3912,17.7729,0
722,-23.36,17.798,-21.99,12.5926,0.179844,0.94666,-1.37,5.20538,1932.4,-23.3511,17.8358,0
731,-23.3646,17.8028,-21.99,12.5926,-0.507701,0.536696,-1.37457,5.21021,1932.12,-23.3614,17.7897,0
741,-23.3592,17.8016,-21.99,12.5926,0.539725,-0.126367,-1.36917,5.20895,1931.98,-23.3005,17.8083,0
752,-23.3342,17.7777,-21.99,12.5926,2.26615,-2.17127,-1.34424,5.18506,1931.67,-23.4205,17.8128,0
760,-22.7201,17.1978,-21.99,12.5926,76.7703,-72.4848,-0.73008,4.60519,1931.53,-15.7059,15.2024,0
779,-21.4054,16.3229,-21.99,12.5926,69.195,-46.0465,0.584624,3.7303,1932.28,-20.7807,16.0408,0
785,-18.7879,15.3404,-21.99,12.5926,436.245,-163.748,3.2021,2.74781,1936.14,-16.841,14.6866,0
792,-14.9016,14.104,-21.99,12.5926,555.186,-176.636,7.08839,1.51136,1948.18,-12.8982,13.5117,0
801,-11.1635,13.2728,-21.99,12.5926,415.345,-92.3591,10.8265,0.680129,1975.18,-9.448,11.9315,0
813,-8.80528,12.9029,-21.99,12.5926,196.517,-30.825,13.1847,0.310228,2016.82,-7.31672,11.9763,0
821,-7.15442,12.6738,-21.99,12.5926,206.358,-28.6329,14.8356,0.0811651,2059.17,-4.87152,12.4259,0
833,-5.50146,12.5262,-21.99,12.5926,137.747,-12.2971,16.4885,-0.0663997,2088.25,-4.58297,12.5988,0
841,-4.86976,12.4517,-21.99,12.5926,78.9621,-9.31178,17.1202,-0.140894,2102.96,-4.857,12.5973,0
852,-4.76029,12.4352,-21.99,12.5926,9.95226,-1.50069,17.2297,-0.157402,2108.77,-4.79497,12.3472,0
861,-4.68163,12.3447,-21.99,12.5926,8.73977,-10.0588,17.3084,-0.247931,2110.44,-4.53654,12.1237,0
873,-4.67838,12.2244,-21.99,12.5926,0.270238,-10.0216,17.3116,-0.36819,2110.68,-4.45589,12.0103,0
