Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01079,Test,CC9-07172018-133136,Calibration,CC9-07172018-133136
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-22.0243,12.8104,-21.99,12.5926,0,0,-0.0343407,0.21779,8599.02,-22.0244,12.9092,0
0,-22.0243,12.8104,-21.99,12.5926,nan,nan,-0.0343407,0.21779,8599.02,-22.0171,12.6173,0
10,-22.0345,12.7186,-21.99,12.5926,-1.01737,-9.18321,-0.0445144,0.125958,8599.02,-21.9813,12.7917,0
17,-22.0262,12.6927,-21.99,12.5926,1.18958,-3.70425,-0.0361874,0.100028,8599.02,-22.0508,12.63,0
32,-22.0286,12.6684,-21.99,12.5926,-0.160983,-1.61647,-0.0386021,0.0757807,8596.54,-22.1887,12.7254,0
40,-22.0283,12.6674,-21.99,12.5926,0.0306021,-0.129817,-0.0383573,0.0747422,8584.37,-21.9664,12.6581,0
55,-22.019,12.6678,-21.99,12.5926,0.621932,0.0263237,-0.0290283,0.075137,8571.89,-22.1604,12.6572,0
63,-21.9966,12.6827,-21.99,12.5926,2.8008,1.86322,-0.00662192,0.0900428,8558.97,-21.9898,12.7993,0
70,-21.9876,12.659,-21.99,12.5926,1.28251,-3.38119,0.00235563,0.0663745,8546.33,-21.9026,12.6389,0
79,-21.9959,12.6815,-21.99,12.5926,-0.9174,2.49441,-0.00590097,0.0888242,8536.3,-22.0029,12.7686,0
91,-21.9975,12.683,-21.99,12.5926,-0.138159,0.125721,-0.00755888,0.0903329,8530.03,-21.9727,12.6096,0
102,-22.0289,12.6931,-21.99,12.5926,-2.8507,0.925867,-0.0389166,0.100517,8526.51,-22.2485,12.8563,0
111,-22.0815,12.6801,-21.99,12.5926,-5.84107,-1.4463,-0.0914863,0.0875007,8524.61,-22.0312,12.6497,0
118,-22.0837,12.6797,-21.99,12.5926,-0.319701,-0.0669011,-0.0937242,0.0870324,8523.72,-22.0795,12.6279,0
131,-22.0818,12.6824,-21.99,12.5926,0.143648,0.213391,-0.0918568,0.0898065,8523.35,-22.157,12.7101,0
138,-22.0484,12.6813,-21.99,12.5926,4.77627,-0.159017,-0.0584228,0.0886934,8523.14,-22.0028,12.7517,0
151,-22.0776,12.6824,-21.99,12.5926,-2.24301,0.0830508,-0.087582,0.089773,8522.69,-21.9277,12.5806,0
158,-22.0833,12.6815,-21.99,12.5926,-0.816439,-0.1264,-0.0932971,0.0888882,8520.39,-22.0431,12.6625,0
170,-22.0676,12.6543,-21.99,12.5926,1.30385,-2.27048,-0.0776509,0.0616425,8512.37,-22.3817,12.7456,0
178,-22.0718,12.6124,-21.99,12.5926,-0.522805,-5.22861,-0.0818333,0.0198136,8495.45,-22.2313,12.5442,0
190,-22.0768,12.5605,-21.99,12.5926,-0.415137,-4.33114,-0.086815,-0.0321601,8473.6,-21.9823,12.4733,0
198,-22.0541,12.5132,-21.99,12.5926,2.83942,-5.90945,-0.0640996,-0.0794357,8456.32,-21.9751,12.4965,0
210,-22.0507,12.5111,-21.99,12.5926,0.285536,-0.17288,-0.0606732,-0.0815102,8448.07,-22.0006,12.502,0
222,-21.9954,12.5091,-21.99,12.5926,4.60394,-0.168327,-0.00542584,-0.0835302,8445.89,-21.9875,12.3547,0
230,-21.988,12.5099,-21.99,12.5926,0.927017,0.0988688,0.0019903,-0.0827392,8446.31,-22.1105,12.5972,0
242,-21.9877,12.5198,-21.99,12.5926,0.02877,0.828948,0.00233553,-0.0727918,8448.97,-21.9603,12.5164,0
250,-21.988,12.5234,-21.99,12.5926,-0.046374,0.447619,0.00196454,-0.0692109,8454.31,-22.0015,12.4734,0
262,-22.0033,12.5385,-21.99,12.5926,-1.27553,1.25709,-0.0133419,-0.0541258,8460.69,-21.9785,12.5279,0
271,-22.0072,12.5332,-21.99,12.5926,-0.434272,-0.594501,-0.0172503,-0.0594763,8466.13,-22.0462,12.5836,0
282,-22.0625,12.5503,-21.99,12.5926,-5.02133,1.55869,-0.0724849,-0.0423308,8470.25,-22.2022,12.7571,0
290,-22.0637,12.5667,-21.99,12.5926,-0.14713,2.05377,-0.0736619,-0.0259006,8473.02,-22.1191,12.545,0
302,-22.0778,12.5678,-21.99,12.5926,-1.17841,0.088772,-0.0878028,-0.0248353,8474.74,-22.0955,12.5783,0
310,-22.0776,12.5643,-21.99,12.5926,0.0287336,-0.430704,-0.087573,-0.0282809,8475.96,-21.9993,12.6045,0
322,-22.0487,12.5631,-21.99,12.5926,2.40533,-0.101816,-0.058709,-0.0295027,8476.46,-22.0591,12.4933,0
331,-22.0449,12.5621,-21.99,12.5926,0.426549,-0.109654,-0.05487,-0.0304896,8475.79,-22.0477,12.4797,0
342,-22.0472,12.5418,-21.99,12.5926,-0.210189,-1.84769,-0.0571821,-0.0508142,8474.31,-22.3695,12.7002,0
350,-22.0504,12.5139,-21.99,12.5926,-0.398305,-3.48708,-0.0603686,-0.0787109,8472.86,-21.931,12.3437,0
362,-22.0475,12.5081,-21.99,12.5926,0.235718,-0.48102,-0.05754,-0.0844831,8472.34,-22.0607,12.4914,0
370,-22.0409,12.5077,-21.99,12.5926,0.833248,-0.0555408,-0.050874,-0.0849274,8472.58,-22.0432,12.4288,0
382,-22.0014,12.5074,-21.99,12.5926,3.29114,-0.0254999,-0.0113803,-0.0852334,8472.89,-21.9627,12.5218,0
390,-21.9965,12.534,-21.99,12.5926,0.613178,3.32879,-0.00647483,-0.0586031,8473.17,-21.9501,12.5456,0
402,-21.9937,12.5458,-21.99,12.5926,0.232235,0.979333,-0.00368801,-0.0468511,8473.14,-21.962,12.5441,0
410,-21.9635,12.5463,-21.99,12.5926,3.76673,0.0681415,0.0264458,-0.046306,8472.71,-22.0909,12.6238,0
422,-21.995,12.5651,-21.99,12.5926,-2.62215,1.56728,-0.00501991,-0.0274986,8472,-22.1359,12.5001,0
430,-22.0592,12.5874,-21.99,12.5926,-8.02758,2.78591,-0.0692405,-0.0052113,8470.85,-21.8964,12.7643,0
