Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01036,Test,CC9-03082018-104953,Calibration,CC9-03082018-104953
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-22.4435,13.0849,-21.99,12.5926,0,0,-0.453505,0.492275,4103.22,-22.4429,13.0843,0
0,-22.4435,13.0849,-21.99,12.5926,nan,nan,-0.453505,0.492275,4103.22,-21.8029,11.3609,0
10,-22.462,13.1021,-21.99,12.5926,-1.84749,1.72239,-0.47198,0.509498,4103.22,-22.7252,13.299,0
19,-22.5466,13.1695,-21.99,12.5926,-9.39959,7.48613,-0.556577,0.576874,4103.22,-22.5078,13.1469,0
25,-22.6684,13.2482,-21.99,12.5926,-20.3011,13.1211,-0.678383,0.6556,4102.74,-22.719,13.3054,0
39,-22.7389,13.2684,-21.99,12.5926,-5.03563,1.44331,-0.748882,0.675807,4095.35,-22.7502,13.2851,0
49,-22.7519,13.2897,-21.99,12.5926,-1.29854,2.1298,-0.761867,0.697105,4087.87,-22.7763,13.3092,0
60,-22.7524,13.29,-21.99,12.5926,-0.0515439,0.0273131,-0.762434,0.697405,4080.7,-22.7691,13.255,0
66,-22.7551,13.2766,-21.99,12.5926,-0.438081,-2.23903,-0.765063,0.683971,4073.2,-22.7777,13.3117,0
77,-22.7516,13.2833,-21.99,12.5926,0.315542,0.606963,-0.761592,0.690647,4064.96,-22.7507,13.2638,0
85,-22.7425,13.2838,-21.99,12.5926,1.1297,0.0617327,-0.752554,0.691141,4056.18,-22.2261,11.4835,0
97,-22.7358,13.3153,-21.99,12.5926,0.561305,2.62688,-0.745819,0.722664,4047.24,-22.7154,13.3541,0
104,-22.7306,13.3421,-21.99,12.5926,0.738989,3.82452,-0.740646,0.749435,4037.57,-22.75,13.3792,0
117,-22.7358,13.3461,-21.99,12.5926,-0.400598,0.313349,-0.745853,0.753509,4026.61,-22.7364,13.3299,0
125,-22.7608,13.3518,-21.99,12.5926,-3.11711,0.70314,-0.77079,0.759134,4015.56,-22.804,13.3873,0
136,-22.7945,13.3465,-21.99,12.5926,-3.06149,-0.479634,-0.804467,0.753858,4005.25,-22.7788,13.3439,0
144,-22.8083,13.3469,-21.99,12.5926,-1.72756,0.0567313,-0.818287,0.754312,3995.79,-22.8341,13.2685,0
156,-22.8104,13.3372,-21.99,12.5926,-0.181022,-0.814131,-0.820459,0.744542,3988.02,-22.8522,13.3105,0
164,-22.803,13.3349,-21.99,12.5926,0.932676,-0.286684,-0.812998,0.742249,3981.9,-22.8056,13.3463,0
176,-22.8017,13.3349,-21.99,12.5926,0.107706,0.00164985,-0.811706,0.742269,3976.18,-21.0761,11.6629,0
188,-22.7777,13.3367,-21.99,12.5926,1.99955,0.149545,-0.787711,0.744063,3970.58,-22.7882,13.3804,0
196,-22.7257,13.3237,-21.99,12.5926,6.50548,-1.62139,-0.735667,0.731092,3965.29,-22.7583,13.3499,1
208,-22.6605,13.2968,-21.99,12.5926,5.43343,-2.24553,-0.670466,0.704146,3959.39,-22.6913,13.3134,1
216,-22.6558,13.2938,-21.99,12.5926,0.58312,-0.371547,-0.665801,0.701173,3952.38,-22.6242,13.2768,1
228,-22.6084,13.2629,-21.99,12.5926,3.95052,-2.57556,-0.618395,0.670267,3946.25,-22.557,13.2403,1
237,-22.5582,13.2307,-21.99,12.5926,5.58107,-3.57381,-0.568165,0.638102,3942.97,-22.4896,13.2038,1
254,-22.4899,13.1988,-21.99,12.5926,4.01606,-1.87823,-0.499892,0.606173,3941.99,-22.4222,13.1673,1
262,-22.4044,13.1625,-21.99,12.5926,10.6849,-4.53352,-0.414413,0.569904,3941.83,-22.3546,13.1308,1
270,-22.3205,13.1175,-21.99,12.5926,10.4873,-5.6312,-0.330515,0.524855,3941.81,-22.2869,13.0943,1
277,-22.2537,13.0764,-21.99,12.5926,9.54975,-5.86828,-0.263667,0.483777,3941.81,-22.219,13.0578,1
288,-22.2023,13.0437,-21.99,12.5926,4.66885,-2.97199,-0.21231,0.451085,3941.81,-22.1511,13.0213,1
296,-22.1343,13.0073,-21.99,12.5926,8.49777,-4.55768,-0.144327,0.414623,3941.81,-22.083,12.9849,1
308,-22.0496,12.967,-21.99,12.5926,7.05741,-3.3513,-0.0596384,0.374408,3941.81,-22.0148,12.9485,1
316,-21.9797,12.9354,-21.99,12.5926,8.74684,-3.95095,0.0103363,0.3428,3941.81,-21.9465,12.912,1
328,-21.9085,12.913,-21.99,12.5926,5.93039,-1.86543,0.0815009,0.320415,3941.81,-21.8781,12.8756,1
336,-21.8372,12.8905,-21.99,12.5926,8.90546,-2.81943,0.152745,0.29786,3940.35,-21.8095,12.8392,1
348,-21.7692,12.8549,-21.99,12.5926,5.66619,-2.96873,0.220739,0.262235,3930.27,-21.7409,12.8028,1
357,-21.7179,12.8228,-21.99,12.5926,5.70581,-3.56327,0.272091,0.230166,3896.37,-21.6721,12.7664,1
369,-21.6649,12.7946,-21.99,12.5926,4.41309,-2.35014,0.325048,0.201964,3832.9,-21.6031,12.7301,1
377,-21.5825,12.7504,-21.99,12.5926,10.3112,-5.52147,0.407538,0.157792,3764.67,-21.5341,12.6937,1
388,-21.5516,12.7182,-21.99,12.5926,2.80428,-2.93091,0.438385,0.125552,3721.98,-21.465,12.6574,1
395,-21.5523,12.6869,-21.99,12.5926,-0.102896,-4.46438,0.437665,0.0943015,3706.35,-25.4622,-5.2014,0
407,-21.5724,12.4033,-21.99,12.5926,-1.67553,-23.6333,0.417558,-0.189298,3702.63,-21.7117,11.3513,0
415,-21.6157,11.9964,-21.99,12.5926,-5.40423,-50.8612,0.374324,-0.596188,3701.05,-21.6199,13.0676,0
427,-21.6563,11.7166,-21.99,12.5926,-3.38354,-23.3226,0.333722,-0.876059,3699.36,-21.6655,11.3716,0
439,-21.6436,11.5624,-21.99,12.5926,1.05303,-12.8477,0.346358,-1.03023,3698.19,-21.6261,11.3827,0
448,-21.6328,11.5466,-21.99,12.5926,1.2071,-1.75449,0.357222,-1.04602,3697.75,-21.6958,11.3634,0
459,-21.621,11.5412,-21.99,12.5926,1.07332,-0.495826,0.369029,-1.05148,3697.46,-21.6205,11.4894,0
467,-21.6041,11.5371,-21.99,12.5926,2.1075,-0.510275,0.385889,-1.05556,3696.43,-21.7103,11.3453,0
479,-21.6012,11.5364,-21.99,12.5926,0.240855,-0.0568123,0.388779,-1.05624,3693.7,-21.5697,11.5598,0
487,-21.5825,11.5318,-21.99,12.5926,2.34027,-0.575789,0.407501,-1.06085,3689.32,-21.5631,11.5369,0
499,-21.5724,11.525,-21.99,12.5926,0.843554,-0.563537,0.417624,-1.06761,3684.82,-21.5762,11.5017,0
510,-21.572,11.5247,-21.99,12.5926,0.0374948,-0.0249609,0.418036,-1.06788,3681.69,-21.5732,11.5203,0
519,-21.5727,11.5253,-21.99,12.5926,-0.0781405,0.0561427,0.417333,-1.06738,3680.1,-21.535,11.5318,0
527,-21.5913,11.5302,-21.99,12.5926,-2.32534,0.616602,0.39873,-1.06244,3679.56,-21.7415,11.5205,0
541,-21.619,11.5495,-21.99,12.5926,-1.9841,1.38101,0.370953,-1.04311,3679.59,-21.6059,11.5544,0
547,-21.6413,11.5697,-21.99,12.5926,-3.71413,3.36154,0.348668,-1.02294,3680.12,-21.6214,11.6024,0
559,-21.6659,11.5761,-21.99,12.5926,-2.04629,0.536317,0.324113,-1.01651,3681.31,-21.6781,11.588,0
568,-21.6676,11.5763,-21.99,12.5926,-0.190237,0.0164572,0.322401,-1.01636,3683.52,-21.6889,11.5877,0
580,-21.6839,11.5726,-21.99,12.5926,-1.36006,-0.307686,0.30608,-1.02005,3687.59,-21.5869,11.5108,0
587,-21.7105,11.5342,-21.99,12.5926,-3.79221,-5.48769,0.279534,-1.05846,3693.63,-21.729,11.5141,0
600,-21.7717,11.4199,-21.99,12.5926,-4.71371,-8.79048,0.218256,-1.17274,3700.1,-21.8306,11.2992,0
608,-21.8007,11.4212,-21.99,12.5926,-3.62585,0.163928,0.189249,-1.17143,3705.72,-21.8175,11.3146,0
619,-21.8335,11.4429,-21.99,12.5926,-2.98185,1.96953,0.156449,-1.14976,3711.01,-21.8461,11.3225,0
