Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01023,Test,CC9-01222018-113651,Calibration,CC9-01222018-113651
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-21.6749,12.7322,-21.99,12.5926,0,0,0.315112,0.139526,3130.85,-21.6227,12.7314,0
0,-21.6749,12.7322,-21.99,12.5926,nan,nan,0.315112,0.139526,3130.85,-21.8086,12.7735,0
10,-21.7967,12.734,-21.99,12.5926,-12.18,0.181236,0.193312,0.141339,3130.85,-21.886,12.695,0
26,-21.8832,12.7354,-21.99,12.5926,-5.4059,0.0889258,0.106817,0.142761,3130.85,-21.9174,12.7451,0
31,-21.8959,12.7404,-21.99,12.5926,-2.54513,1.00611,0.0940915,0.147792,3128.06,-21.9836,12.6989,0
39,-21.8986,12.7532,-21.99,12.5926,-0.34358,1.59771,0.0913429,0.160574,3122.25,-21.8905,12.7609,0
49,-21.9036,12.773,-21.99,12.5926,-0.493058,1.9829,0.0864123,0.180403,3116.7,-21.8952,12.826,0
60,-21.9008,12.795,-21.99,12.5926,0.249493,1.99718,0.0891567,0.202372,3110.39,-21.9524,12.8092,0
67,-21.8981,12.8057,-21.99,12.5926,0.387867,1.53331,0.0918718,0.213105,3103.14,-21.9062,12.804,0
79,-21.8978,12.8064,-21.99,12.5926,0.0250204,0.0563071,0.092172,0.21378,3096.24,-21.8948,12.8092,0
86,-21.8937,12.8077,-21.99,12.5926,0.587201,0.17942,0.0962824,0.215036,3091.11,-21.9038,12.7652,0
97,-21.8706,12.8086,-21.99,12.5926,2.10436,0.085397,0.11943,0.215976,3087.6,-21.8454,12.8086,0
105,-21.8697,12.808,-21.99,12.5926,0.104806,-0.0770939,0.120269,0.215359,3084.89,-21.8088,12.8421,0
117,-21.8674,12.8176,-21.99,12.5926,0.195978,0.803323,0.122621,0.224999,3082.69,-21.8252,12.8501,0
129,-21.8686,12.8337,-21.99,12.5926,-0.103965,1.33882,0.121373,0.241065,3081.08,-21.9285,12.7848,0
137,-21.8956,12.8349,-21.99,12.5926,-3.36899,0.151227,0.0944211,0.242275,3080.1,-21.8984,12.8262,0
