Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01023,Test,CC9-01222018-113248,Calibration,CC9-01222018-113248
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-32.8288,-23.1247,-21.99,12.5926,0,0,-10.8388,-35.7173,2761.87,-33.0793,-23.8939,0
0,-32.8288,-23.1247,-21.99,12.5926,nan,nan,-10.8388,-35.7173,2761.87,-35.5537,-28.2354,0
10,-27.1929,-4.24481,-21.99,12.5926,563.587,1887.99,-5.20295,-16.8374,2761.87,-20.6033,16.8707,0
18,-22.7193,13.3703,-21.99,12.5926,559.208,2201.89,-0.729285,0.777667,2761.87,-20.6247,16.7824,0
29,-22.4051,14.6156,-21.99,12.5926,28.5647,113.208,-0.415073,2.02296,2776.46,-23.3379,13.4398,0
41,-21.3482,15.6377,-21.99,12.5926,88.0689,85.1719,0.641753,3.04502,2784.2,-22.6921,15.8268,0
47,-21.2658,15.6882,-21.99,12.5926,13.7385,8.4293,0.724184,3.0956,2791.66,-23.1174,13.4207,0
60,-20.3685,15.9045,-21.99,12.5926,69.0268,16.6345,1.62153,3.31185,2798.8,-18.3975,17.0994,0
66,-18.7908,17.0801,-21.99,12.5926,262.938,195.935,3.19916,4.48746,2804.55,-18.7936,17.2651,0
77,-18.7169,17.1511,-21.99,12.5926,6.72441,6.46004,3.27313,4.55852,2808.54,-18.4046,17.1139,0
85,-18.6499,17.1707,-21.99,12.5926,8.36487,2.4399,3.34005,4.57804,2811.05,-18.4361,17.1753,0
97,-18.7283,17.1885,-21.99,12.5926,-6.52784,1.48387,3.26172,4.59584,2812.69,-18.8838,17.1983,0
105,-18.7064,17.1871,-21.99,12.5926,2.73572,-0.170476,3.2836,4.59448,2813.92,-18.3328,17.0336,0
117,-18.7824,17.1923,-21.99,12.5926,-6.33398,0.428558,3.20759,4.59962,2815.19,-18.8999,17.2223,0
129,-18.855,17.1718,-21.99,12.5926,-6.05003,-1.70362,3.13499,4.57918,2816.86,-18.7518,17.1367,0
137,-18.8718,17.1714,-21.99,12.5926,-2.09444,-0.0545663,3.11824,4.57874,2818.89,-18.8351,17.1214,0
149,-18.9862,17.1515,-21.99,12.5926,-9.54147,-1.65595,3.00374,4.55887,2821.05,-22.7587,13.7241,0
157,-19.2316,17.0905,-21.99,12.5926,-30.6637,-7.63013,2.75843,4.49783,2823.32,-19.2652,17.2315,0
169,-20.8967,15.6093,-21.99,12.5926,-138.761,-123.429,1.0933,3.01668,2825.49,-22.6725,13.7711,0
178,-21.0368,15.4816,-21.99,12.5926,-15.5646,-14.1933,0.953222,2.88894,2827.25,-22.6985,13.87,0
189,-22.5887,13.9357,-21.99,12.5926,-141.082,-140.534,-0.598683,1.34306,2828.64,-22.7017,13.8729,0
197,-22.6596,13.8562,-21.99,12.5926,-8.8697,-9.93233,-0.669641,1.26361,2830.05,-18.4518,17.1621,0
