Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01034,Test,CC9-03022018-114712,Calibration,CC9-03022018-114712
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-16.6354,16.1655,-21.99,12.5926,0,0,5.3546,3.57283,1967.19,-16.6689,16.1378,0
0,-16.6354,16.1655,-21.99,12.5926,nan,nan,5.3546,3.57283,1967.19,-16.5585,16.1828,0
10,-16.5964,16.1925,-21.99,12.5926,3.89818,2.70348,5.39358,3.59987,1967.19,-16.6108,16.2049,0
19,-16.5852,16.196,-21.99,12.5926,1.24288,0.394106,5.40477,3.60341,1967.19,-16.5921,16.1992,0
24,-16.5828,16.2139,-21.99,12.5926,0.485293,3.56863,5.40719,3.62126,1966.74,-16.5739,16.2571,0
36,-16.5912,16.2167,-21.99,12.5926,-0.702662,0.233086,5.39876,3.62405,1964.7,-16.5695,16.2339,0
44,-16.584,16.2031,-21.99,12.5926,0.903338,-1.6946,5.40599,3.6105,1963.74,-16.8389,16.2887,0
57,-16.615,15.9129,-21.99,12.5926,-2.38821,-22.3253,5.37494,3.32027,1963.86,-20.7675,16.6621,0
66,-16.6147,15.2681,-21.99,12.5926,0.044218,-71.6474,5.37534,2.67544,1966.14,-16.2855,14.7406,0
75,-15.7633,14.6697,-21.99,12.5926,94.592,-66.4888,6.22667,2.07704,1974.56,-13.6111,14.291,0
93,-13.8397,14.1235,-21.99,12.5926,106.865,-30.3423,8.15024,1.53088,1995.68,-11.8111,13.3107,0
100,-11.8251,13.6867,-21.99,12.5926,287.805,-62.4014,10.1649,1.09407,2031.94,-9.99094,13.1228,0
106,-10.4779,13.3537,-21.99,12.5926,224.539,-55.5082,11.5121,0.761022,2073.98,-9.99188,13.3864,0
114,-9.98108,13.2501,-21.99,12.5926,62.0987,-12.9487,12.0089,0.657432,2106.83,-9.92322,13.5009,0
122,-9.74428,13.1538,-21.99,12.5926,29.6011,-12.0357,12.2457,0.561147,2124.13,-9.53162,13.0605,0
135,-9.5867,13.0639,-21.99,12.5926,12.1214,-6.91247,12.4033,0.471284,2130.39,-9.39406,12.7771,0
143,-9.58018,13.0601,-21.99,12.5926,0.814879,-0.472163,12.4098,0.467507,2132.16,-9.51065,12.8094,0
154,-9.58324,13.0696,-21.99,12.5926,-0.278224,0.862427,12.4068,0.476994,2132.31,-9.62873,13.0598,0
