Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01034,Test,CC9-03022018-114947,Calibration,CC9-03022018-114947
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
0,-17.9817,15.0648,-21.99,12.5926,0,0,4.0083,2.47222,1973.15,-17.9818,15.0649,0
0,-17.9817,15.0648,-21.99,12.5926,nan,nan,4.0083,2.47222,1973.15,-18.6192,15.4218,0
12,-17.9721,15.057,-21.99,12.5926,0.799881,-0.653575,4.0179,2.46437,1973.15,-18.7188,15.6511,0
21,-17.7043,14.8474,-21.99,12.5926,29.7551,-23.2897,4.28569,2.25477,1973.15,-17.5011,14.6713,0
28,-16.53,14.1628,-21.99,12.5926,167.757,-97.7944,5.45999,1.57021,1997.65,-13.6124,13.1914,0
38,-14.5547,13.6962,-21.99,12.5926,197.53,-46.6659,7.43529,1.10355,2015.84,-12.6313,12.6079,0
53,-13.5034,13.4612,-21.99,12.5926,70.0871,-15.6683,8.48659,0.868522,2031.79,-13.1356,12.9179,0
63,-13.4042,13.3003,-21.99,12.5926,9.92139,-16.0824,8.58581,0.707697,2047.91,-13.7612,13.9396,0
71,-13.3368,13.311,-21.99,12.5926,8.42082,1.32985,8.65317,0.718336,2063.08,-13.7948,14.1196,0
79,-13.2457,13.2929,-21.99,12.5926,11.3913,-2.25808,8.7443,0.700271,2075.29,-13.1434,13.3828,0
89,-13.1035,13.2607,-21.99,12.5926,14.2196,-3.22425,8.8865,0.668029,2082.86,-12.4584,13.0151,0
97,-13.1036,13.2148,-21.99,12.5926,-0.017592,-5.73167,8.88636,0.622175,2084.37,-12.807,12.8142,0
109,-13.1116,13.2145,-21.99,12.5926,-0.665743,-0.0268091,8.87837,0.621854,2082.23,-13.0691,13.0102,0
117,-13.2948,13.2626,-21.99,12.5926,-22.8962,6.01575,8.6952,0.66998,2080.78,-13.5031,13.6154,0
130,-13.4765,13.5137,-21.99,12.5926,-13.9766,19.3113,8.51351,0.921026,2080.6,-13.6328,13.9411,0
137,-13.4699,13.6253,-21.99,12.5926,0.937941,15.9458,8.52007,1.03265,2080.25,-13.5036,13.8719,0
148,-13.4634,13.6284,-21.99,12.5926,0.59144,0.288036,8.52658,1.03582,2079.52,-13.3342,13.6511,0
156,-13.3241,13.5947,-21.99,12.5926,17.4174,-4.21775,8.66592,1.00207,2078.98,-13.0966,13.3992,0
168,-13.1956,13.4767,-21.99,12.5926,10.7087,-9.83389,8.79442,0.884067,2078.85,-13.0626,13.3112,0
177,-13.1902,13.4716,-21.99,12.5926,0.599057,-0.570413,8.79981,0.878933,2079.18,-13.068,13.3973,0
188,-13.1903,13.4771,-21.99,12.5926,-0.00739087,0.499225,8.79973,0.884425,2080.15,-13.1684,13.3924,0
196,-13.2261,13.6246,-21.99,12.5926,-4.47743,18.4456,8.76391,1.03199,2081.31,-13.2198,13.7961,0
209,-14.0684,14.1796,-21.99,12.5926,-64.7905,42.6887,7.92164,1.58694,2081.47,-14.7763,14.9283,0
217,-15.7914,14.9544,-21.99,12.5926,-215.38,96.8522,6.19859,2.36176,2079.58,-19.1618,16.302,0
228,-16.5759,15.3337,-21.99,12.5926,-71.3214,34.483,5.41406,2.74107,2072.04,-22.5552,17.3142,0
240,-16.6059,15.357,-21.99,12.5926,-2.49616,1.94121,5.38411,2.76437,2049.47,-16.8233,15.4008,0
250,-16.6019,15.3831,-21.99,12.5926,0.398901,2.61336,5.38809,2.7905,2007.5,-15.9726,15.0855,0
259,-16.6017,15.3843,-21.99,12.5926,0.0192466,0.12605,5.38827,2.79163,1960.3,-15.2728,15.7214,0
269,-16.6182,15.3912,-21.99,12.5926,-1.65093,0.6901,5.37176,2.79854,1926.17,-16.5734,15.0259,0
276,-17.014,15.5592,-21.99,12.5926,-56.5353,24.0001,4.97601,2.96654,1908.71,-17.6514,15.6463,0
289,-17.5004,15.8137,-21.99,12.5926,-37.4193,19.5826,4.48956,3.22111,1902.09,-17.7095,16.2745,0
300,-17.5084,15.9054,-21.99,12.5926,-0.724345,8.33408,4.48159,3.31279,1900.64,-17.6102,16.218,0
308,-17.4951,15.906,-21.99,12.5926,1.66407,0.0771121,4.49491,3.3134,1901.52,-17.154,15.8969,0
321,-17.2004,15.8388,-21.99,12.5926,22.6646,-5.17435,4.78955,3.24614,1903.95,-16.2811,16.1319,0
